Catalog Number,Calendar Date,Eclipse Time,Delta T (s),Lunation Number,Saros Number,Eclipse Type,Gamma,Eclipse Magnitude,Latitude,Longitude,Sun Altitude,Sun Azimuth,Path Width (km),Central Duration
09498,1995 October 24,04:33:30,61,-52,143,T,0.3518,1.0213,8.4N,113.2E,69,195,78,02m10s
09499,1996 April 17,22:38:12,62,-46,148,P,-1.058,0.8799,71.3S,104.0W,0,306,,
09500,1996 October 12,14:03:04,62,-40,153,P,1.1227,0.7575,71.7N,32.1E,0,245,,
09501,1997 March 9,01:24:51,62,-35,120,T,0.9183,1.042,57.8N,130.7E,23,146,356,02m50s
09502,1997 September 2,00:04:48,63,-29,125,P,-1.0352,0.8988,71.8S,114.3E,0,64,,
09503,1998 February 26,17:29:27,63,-23,130,T,0.2391,1.0441,4.7N,82.7W,76,164,151,04m09s
09504,1998 August 22,02:07:11,63,-17,135,A,-0.2644,0.9734,3.0S,145.4E,75,14,99,03m14s
09505,1999 February 16,06:34:38,63,-11,140,A,-0.4726,0.9928,39.8S,93.9E,62,342,29,00m40s
09506,1999 August 11,11:04:09,64,-5,145,T,0.5062,1.0286,45.1N,24.3E,59,197,112,02m23s
09507,2000 February 5,12:50:27,64,1,150,P,-1.2233,0.5795,70.2S,134.1E,0,215,,
09508,2000 July 1,19:33:34,64,6,117,P,-1.2821,0.4768,66.9S,109.5W,0,358,,
09509,2000 July 31,02:14:08,64,7,155,P,1.2166,0.6034,69.5N,59.9W,0,333,,
09510,2000 December 25,17:35:57,64,12,122,P,1.1367,0.7228,66.3N,74.1W,0,189,,
09511,2001 June 21,12:04:46,64,18,127,T,-0.5701,1.0495,11.3S,2.7E,55,355,200,04m57s
09512,2001 December 14,20:53:01,64,24,132,A,0.4089,0.9681,0.6N,130.7W,66,188,126,03m53s
09513,2002 June 10,23:45:22,64,30,137,A,0.1993,0.9962,34.5N,178.6W,78,169,13,00m23s
09514,2002 December 4,07:32:16,64,36,142,T,-0.302,1.0244,39.5S,59.6E,72,16,87,02m04s
09515,2003 May 31,04:09:22,64,42,147,An,0.996,0.9384,66.6N,24.5W,3,35,-,03m37s
09516,2003 November 23,22:50:22,64,48,152,T,-0.9638,1.0379,72.7S,88.4E,15,111,495,01m57s
09517,2004 April 19,13:35:05,65,53,119,P,-1.1335,0.7367,61.6S,44.3E,0,295,,
09518,2004 October 14,03:00:23,65,59,124,P,1.0348,0.9282,61.2N,153.7W,0,253,,
09519,2005 April 8,20:36:51,65,65,129,H,-0.3473,1.0074,10.6S,119.0W,70,332,27,00m42s
